Dbxref=GeneID:114881687,Genbank:XP_029054577.1
Dbxref=GeneID:114881687,Genbank:XP_029054432.1
Dbxref=GeneID:114882120,Genbank:XP_029054852.1
Dbxref=GeneID:114871025,Genbank:XP_029032278.1
Dbxref=GeneID:114873746,Genbank:XP_029038347.1
Dbxref=GeneID:114873746,Genbank:XP_029038260.1
Dbxref=GeneID:114873746,Genbank:XP_029038427.1
Dbxref=GeneID:114873746,Genbank:XP_029038512.1
Dbxref=GeneID:114871593,Genbank:XP_029033650.1
Dbxref=GeneID:114871593,Genbank:XP_029033817.1
Dbxref=GeneID:114871593,Genbank:XP_029033565.1
Dbxref=GeneID:114871593,Genbank:XP_029033728.1
Dbxref=GeneID:114871593,Genbank:XP_029033913.1
Dbxref=GeneID:114871927,Genbank:XP_029034492.1
Dbxref=GeneID:114871927,Genbank:XP_029034405.1
Dbxref=GeneID:114871867,Genbank:XP_029034274.1
Dbxref=GeneID:114871788,Genbank:XP_029034140.1
Dbxref=GeneID:114871788,Genbank:XP_029034056.1
Dbxref=GeneID:114874528,Genbank:XP_029039759.1
Dbxref=GeneID:114874466,Genbank:XP_029039634.1
Dbxref=GeneID:114883170,Genbank:XP_029056557.1
Dbxref=GeneID:114883170,Genbank:XP_029056538.1
Dbxref=GeneID:114883170,Genbank:XP_029056548.1
Dbxref=GeneID:114883212,Genbank:XP_029056617.1
Dbxref=GeneID:114883212,Genbank:XP_029056625.1
Dbxref=GeneID:114883212,Genbank:XP_029056645.1
Dbxref=GeneID:114883212,Genbank:XP_029056635.1
Dbxref=GeneID:114883185,Genbank:XP_029056580.1
Dbxref=GeneID:114883185,Genbank:XP_029056571.1
Dbxref=GeneID:114883185,Genbank:XP_029056588.1
Dbxref=GeneID:114883185,Genbank:XP_029056596.1
Dbxref=GeneID:114883185,Genbank:XP_029056604.1
Dbxref=GeneID:114875372,Genbank:XP_029041445.1
Dbxref=GeneID:114883115,Genbank:XP_029056396.1
Dbxref=GeneID:114879888,Genbank:XP_029051530.1
Dbxref=GeneID:114883044,Genbank:XP_029056211.1
Dbxref=GeneID:114883044,Genbank:XP_029056221.1
Dbxref=GeneID:114883027,Genbank:XP_029056167.1
Dbxref=GeneID:114883027,Genbank:XP_029056158.1
Dbxref=GeneID:114883027,Genbank:XP_029056187.1
Dbxref=GeneID:114883027,Genbank:XP_029056196.1
Dbxref=GeneID:114883027,Genbank:XP_029056177.1
Dbxref=GeneID:114883050,Genbank:XP_029056235.1
Dbxref=GeneID:114870894,Genbank:XP_029031944.1
Dbxref=GeneID:114870869,Genbank:XP_029031916.1
Dbxref=GeneID:114870869,Genbank:XP_029031908.1
Dbxref=GeneID:114870869,Genbank:XP_029031899.1
Dbxref=GeneID:114870869,Genbank:XP_029031935.1
Dbxref=GeneID:114870869,Genbank:XP_029031923.1
Dbxref=GeneID:114870869,Genbank:XP_029031890.1
Dbxref=GeneID:114880490,Genbank:XP_029052799.1
Dbxref=GeneID:114878365,Genbank:XP_029047983.1
Dbxref=GeneID:114878365,Genbank:XP_029048074.1
Dbxref=GeneID:114874972,Genbank:XP_029040727.1
Dbxref=GeneID:114874972,Genbank:XP_029040651.1
Dbxref=GeneID:114877849,Genbank:XP_029047158.1
Dbxref=GeneID:114877849,Genbank:XP_029046890.1
Dbxref=GeneID:114877849,Genbank:XP_029046975.1
Dbxref=GeneID:114877849,Genbank:XP_029046813.1
Dbxref=GeneID:114877849,Genbank:XP_029047067.1
Dbxref=GeneID:114872988,Genbank:XP_029036672.1
Dbxref=GeneID:114872988,Genbank:XP_029036756.1
Dbxref=GeneID:114872988,Genbank:XP_029036850.1
Dbxref=GeneID:114872988,Genbank:XP_029037019.1
Dbxref=GeneID:114872988,Genbank:XP_029036938.1
Dbxref=GeneID:114872988,Genbank:XP_029037101.1
Dbxref=GeneID:114872165,Genbank:XP_029035229.1
Dbxref=GeneID:114872165,Genbank:XP_029035148.1
Dbxref=GeneID:114872165,Genbank:XP_029034924.1
Dbxref=GeneID:114872165,Genbank:XP_029035059.1
